de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,dp_deseqno_ptr,dp_dpseqno_ptr,dp_partno,dp_action_type,dp_dispositive,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
46512,4,cmp                      ,1,notice                   ,ntcrem  ,6,4,,1,,n,2020-09-04,2020-09-04T17:13:55,553681,,Megan Stelljes,aty,
46654,4,cmp                      ,1,notice                   ,ntcrem  ,7,4,,1,,n,2020-09-30,2020-09-30T15:17:39,1335303,,Devra Ayala,aty,
46742,5,cmp                      ,1,notice                   ,ntcrem  ,8,5,,1,,n,2020-10-20,2020-10-20T14:29:33,1401087,,Christopher McElgunn,aty,
47281,9,cmp                      ,1,notice                   ,ntcrem  ,17,9,,1,,n,2021-02-16,2021-02-16T14:11:51,1380270,,Eliot Held,aty,
47417,9,cmp                      ,1,notice                   ,ntcrem  ,10,9,,1,,n,2021-03-31,2021-03-31T09:39:37,1518391,kmd ,Kim Davis,crt,clk
47905,7,cmp                      ,1,notice                   ,ntcrem  ,12,7,,1,,n,2021-07-14,2021-07-14T12:15:50,1380270,,Eliot Held,aty,
41206,19,cmp                      ,1,notice                   ,ntcrem  ,20,19,,1,,n,2018-01-31,2018-01-31T11:11:57,6940,,Ann Peacock,aty,
41511,19,cmp                      ,1,notice                   ,ntcrem  ,20,19,,1,,n,2018-03-30,2018-03-30T12:44:03,126907,,Brandon Flugaur,aty,
42059,16,cmp                      ,1,notice                   ,ntcrem  ,17,16,,1,,n,2018-06-21,2018-06-21T12:36:02,1265533,,Michael Morris,aty,
42107,30,cmp                      ,1,notice                   ,ntcrem  ,31,30,,1,,n,2018-07-05,2018-07-05T11:32:45,357909,,Laure Rakvic-Farr,aty,
42206,132,cmp                      ,1,notice                   ,ntcrem  ,133,132,,1,,n,2018-07-25,2018-07-25T15:34:35,1065283,,Danielle Tierney,aty,
42224,16,cmp                      ,1,notice                   ,ntcrem  ,17,16,,1,,n,2018-08-02,2018-08-02T12:49:05,6940,,Ann Peacock,aty,
